id,rank,modality,window_index,occlusion_drop,modality_contribution,evidence_score,regression_change,start_time,end_time,start_time_normalized,end_time_normalized,text_fragment,frame_path
15,1,audio,1,0.003610849380493164,0.8494226157695494,0.0030671371259283603,0.0049277544021606445,0.14666666,0.29333332,0.02,0.04,"However,",
15,2,audio,2,0.003534674644470215,0.8494226157695494,0.0030024325824001916,0.004196286201477051,0.29333332,0.43999997999999996,0.04,0.06,"However,",
15,3,text,20,0.01686042547225952,0.15057738423045067,0.0025387987646253,0.0340038537979126,2.9333331999999994,3.0799998599999996,0.4,0.42,prioritize,
15,4,audio,18,0.0023323893547058105,0.8494226157695494,0.0019811842666672607,0.014345288276672363,2.6399998799999995,2.78666654,0.36,0.38,prioritize,
15,5,text,19,0.009046733379364014,0.15057738423045067,0.0013622334480949386,0.0312502384185791,2.78666654,2.9333331999999994,0.38,0.4,prioritize,
15,6,text,18,0.006393373012542725,0.15057738423045067,0.0009626973846382398,0.011845707893371582,2.6399998799999995,2.78666654,0.36,0.38,prioritize,
16,1,text,10,0.006469249725341797,0.9936249593704005,0.006428007995499718,0.09289312362670898,0.6227994,0.6850793399999999,0.2,0.22,a,
16,2,text,5,0.0033759474754333496,0.9936249593704005,0.0033544256731140682,0.06400728225708008,0.3113997,0.37367964,0.1,0.12,It's,
16,3,text,4,0.0015808343887329102,0.9936249593704005,0.0015707565052760699,0.001397848129272461,0.24911976,0.3113997,0.08,0.1,It's,
16,4,audio,9,0.0024010539054870605,0.006375040629599513,1.53068162013386e-05,0.03504228591918945,0.56051946,0.6227994,0.18,0.2,a,
16,5,audio,10,0.0015705227851867676,0.006375040629599513,1.0012146565277432e-05,0.017394065856933594,0.6227994,0.6850793399999999,0.2,0.22,a,
16,6,audio,11,0.0014481544494628906,0.006375040629599513,9.232043453261243e-06,0.0010428428649902344,0.6850793399999999,0.74735928,0.22,0.24,a,
17,1,text,14,0.008295118808746338,1.0,0.008295118808746338,0.015183448791503906,2.7067577600000003,2.9000976000000005,0.28,0.3,your,
17,2,text,9,0.008266925811767578,1.0,0.008266925811767578,0.025712013244628906,1.74005856,1.9333984000000002,0.18,0.2,design,
17,3,text,13,0.005685746669769287,1.0,0.005685746669769287,0.02063727378845215,2.51341792,2.7067577600000003,0.26,0.28,to,
17,4,audio,4,0.005246162414550781,0.0,0.0,0.01106405258178711,0.77335936,0.9666992000000001,0.08,0.1,these,
17,5,audio,3,0.003923475742340088,0.0,0.0,0.005455136299133301,0.58001952,0.77335936,0.06,0.08,these,
17,6,audio,24,0.0025753378868103027,0.0,0.0,0.0005881786346435547,4.64015616,4.833496,0.48,0.5,easy,
18,1,text,48,0.013273239135742188,1.0,0.013273239135742188,0.004493415355682373,18.055687680000002,18.43184784,0.96,0.98,European,
18,2,text,5,0.012672483921051025,1.0,0.012672483921051025,0.014286160469055176,1.8808008,2.2569609600000002,0.1,0.12,the,
18,3,text,4,0.012324869632720947,1.0,0.012324869632720947,0.014941632747650146,1.50464064,1.8808008,0.08,0.1,-,
18,4,audio,22,0.00498729944229126,0.0,0.0,0.0031180381774902344,8.27552352,8.651683680000001,0.44,0.46,been,
18,5,audio,21,0.004609346389770508,0.0,0.0,0.003057241439819336,7.89936336,8.27552352,0.42,0.44,has,
18,6,audio,20,0.0043013691902160645,0.0,0.0,0.003017604351043701,7.5232032,7.89936336,0.4,0.42,Fishery,
19,1,audio,7,0.008392274379730225,0.5164593659630278,0.004334268705143234,0.012990936636924744,1.91562,2.18928,0.14,0.16,brands,
19,2,audio,9,0.007641911506652832,0.5164593659630278,0.0039467367714714876,0.015247061848640442,2.4629399999999997,2.7365999999999997,0.18,0.2,when,
19,3,audio,11,0.007099717855453491,0.5164593659630278,0.0036667157821438975,0.012002125382423401,3.01026,3.28392,0.22,0.24,own,
19,4,vision,22,0.006454169750213623,0.4835406340369723,0.0031208533332005425,0.009023934602737427,6.02052,6.29418,0.44,0.46,haters,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\19_window_22.jpg
19,5,vision,23,0.005979806184768677,0.4835406340369723,0.002891479274001254,0.00680580735206604,6.29418,6.56784,0.46,0.48,out,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\19_window_23.jpg
19,6,vision,21,0.005370825529098511,0.4835406340369723,0.002597012381642251,0.008441045880317688,5.746860000000001,6.02052,0.42,0.44,some,q3_explainability\q3_q2_best_run_final\attachment4\evidence_frames\19_window_21.jpg
20,1,text,17,0.001949608325958252,0.7470017247985705,0.001456360782172468,0.014004111289978027,3.7240182999999996,3.9430782,0.34,0.36,this,
20,2,text,2,0.0018532872200012207,0.7470017247985705,0.0013844087498880596,0.020131468772888184,0.4381198,0.6571796999999999,0.04,0.06,of,
20,3,text,18,0.0018003582954406738,0.7470017247985705,0.0013448707519495978,0.011564016342163086,3.9430782,4.1621381,0.36,0.38,video,
20,4,audio,12,0.000655055046081543,0.12274304610484225,8.04034517223964e-05,0.0016323328018188477,2.6287187999999997,2.8477787,0.24,0.26,the,
20,5,audio,13,0.0005707740783691406,0.12274304610484225,7.005854901671227e-05,0.006742715835571289,2.8477787,3.0668385999999996,0.26,0.28,the,
20,6,audio,5,0.00044977664947509766,0.12274304610484225,5.5206956023403386e-05,0.0027424097061157227,1.0952995,1.3143593999999998,0.1,0.12,click,
