config,seed,scenario,accuracy,macro_f1,weighted_f1,mae,pearson,ccc,best_epoch,train_seconds
rec0.05_span6,44,single_text_30,0.6437414030261348,0.603406099724467,0.6458109573400228,0.6213874816894531,0.6982031528434252,0.6349045762356622,6,95.3
rec0.05_span6,44,single_audio_30,0.6547455295735901,0.6198590080335334,0.6589115041535145,0.609912633895874,0.7118998913456267,0.6495649074436848,6,95.3
rec0.05_span6,44,single_vision_30,0.6506189821182944,0.6167689992921598,0.6547288086521427,0.6097499132156372,0.7112579022809988,0.6501606053801169,6,95.3
rec0.1_span6,44,clean,0.6478679504814305,0.6205440557967119,0.6546305999798597,0.6138978004455566,0.7093833320198353,0.6630335796933927,7,96.0
rec0.1_span6,44,triple_30,0.6519944979367263,0.6237988957862203,0.6581817316647137,0.6300004124641418,0.6903946906489551,0.6380877709723975,7,96.0
rec0.1_span6,44,single_text_30,0.6506189821182944,0.6191881384021122,0.6557260022622852,0.6308217644691467,0.6894707029466565,0.6394555771029935,7,96.0
rec0.1_span6,44,single_audio_30,0.6547455295735901,0.6276762678113309,0.6617358283426359,0.6142486333847046,0.7095821605031913,0.6618002944719412,7,96.0
rec0.1_span6,44,single_vision_30,0.6464924346629987,0.6186774335539832,0.653108331271878,0.613045871257782,0.709356326131946,0.6630623762562797,7,96.0
rec0.3_span3,44,clean,0.6616231086657497,0.633331149057932,0.6681776802143871,0.6078388690948486,0.7072094628824027,0.6480561868732825,9,94.3
rec0.3_span3,44,triple_30,0.6368638239339752,0.6150428386160739,0.6479513912595364,0.6239956617355347,0.693485438570909,0.621880367671382,9,94.3
rec0.3_span3,44,single_text_30,0.6423658872077029,0.6188310725171399,0.6516813293702801,0.6235565543174744,0.6927318429317503,0.6257061364641627,9,94.3
rec0.3_span3,44,single_audio_30,0.6643741403026134,0.6366596049824914,0.6712044218626233,0.6090517044067383,0.7071199722777236,0.6463297025272916,9,94.3
rec0.3_span3,44,single_vision_30,0.6602475928473177,0.6337624164543407,0.667810574085477,0.6081414222717285,0.7066517870765757,0.6463527969603076,9,94.3
rec0.3_span12,44,clean,0.6478679504814305,0.6276793326026063,0.6626080071404197,0.6197422742843628,0.7095378796464518,0.6291965796846096,5,88.4
rec0.3_span12,44,triple_30,0.6313617606602476,0.6078210939731657,0.645259963200898,0.6410992741584778,0.6907460322696579,0.5919217737132744,5,88.4
rec0.3_span12,44,single_text_30,0.6299862448418156,0.6080492228510088,0.6442919579026785,0.6408663988113403,0.6899092393544086,0.5940829498422063,5,88.4
rec0.3_span12,44,single_audio_30,0.6478679504814305,0.62856167209162,0.6635323549809907,0.621502161026001,0.7093945213776799,0.626411343260367,5,88.4
rec0.3_span12,44,single_vision_30,0.6478679504814305,0.6269823618389739,0.6621308354803263,0.6187704801559448,0.7096253434707596,0.6298336808574434,5,88.4
